,name,conference,attendance,score,home,precipitation,snowfall,snow depth,max temp,min temp,avg wind speed,winner
1186,Temple Owls,American,0,14,1,0,0,0,51.980000000000004,44.06,,Lose
1187,Ohio Bobcats,Mid-American,0,21,1,0,0,0,69.98,55.040000000000006,,Lose
1188,USC Trojans,Pac-12,0,51,1,0,0,0,73.03999999999999,53.06,4,Win
1189,Baylor Bears,Big 12,0,0,1,0,0,0,87.98,64.03999999999999,62,Lose
1190,Virginia Tech Hokies,ACC,0,7,1,0,0,0,71.96000000000001,37.94,,Lose
1191,Mississippi State Bulldogs,SEC,0,0,1,0,0,0,78.08000000000001,53.06,,Lose
1192,LSU Tigers,SEC,91414,24,1,0,0,0,86.0,64.03999999999999,10,Win
1193,Arizona Wildcats,Pac-12,0,52,1,0,0,0,80.06,48.019999999999996,25,Win
1194,Florida State Seminoles,ACC,0,15,1,0,0,0,82.94,48.92,13,Lose
1195,Penn State Nittany Lions,Big Ten,0,35,1,0,0,0,71.06,41.0,,Win
1196,Ohio State Buckeyes,Big Ten,0,40,1,0,0,0,71.06,53.96,,Win
1197,Florida Gators,SEC,0,49,1,0,0,0,84.02,53.96,7,Win
1198,Oregon Ducks,Pac-12,0,27,1,0,0,0,55.94,42.08,53,Win
1199,Texas Tech Red Raiders,Big 12,0,56,1,0,0,0,73.03999999999999,37.94,41,Win
1200,Kentucky Wildcats,SEC,0,27,1,0,0,0,75.92,53.96,53,Lose
1201,North Carolina Tar Heels,ACC,0,16,1,0,0,0,75.02,41.0,,Win
1202,TCU Horned Frogs,Big 12,0,33,1,0,0,0,78.08000000000001,55.040000000000006,,Win
1203,Fresno State Bulldogs,Mountain West,0,45,1,0,0,0,64.94,44.06,,Win
1204,Colorado Buffaloes,Pac-12,0,41,1,0,0,0,,,,Win
1205,Indiana Hoosiers,Big Ten,30656,21,1,0,0,0,75.02,62.96,49,Lose
1206,Northwestern Wildcats,Big Ten,0,28,1,0,0,0,,,,Win
1207,Rutgers Scarlet Knights,Big Ten,0,31,1,0,0,0,,,,Lose
1208,Purdue Boilermakers,Big Ten,0,28,1,0,0,0,69.98,60.08,34,Win
1209,Arkansas Razorbacks,SEC,0,10,1,0,0,0,77.0,55.94,60,Lose
1210,Clemson Tigers,ACC,0,49,1,0,0,0,75.92,50.0,,Win
1211,Central Michigan Chippewas,Mid-American,0,28,1,0,0,0,69.08000000000001,37.04,,Lose
1212,Louisville Cardinals,ACC,0,56,1,0,0,0,71.06,39.92,42,Win
1213,USC Trojans,Pac-12,0,50,1,0,0,0,64.94,59.0,1,Win
1214,Ole Miss Rebels,SEC,0,7,1,0,0,0,55.040000000000006,30.92,,Lose
1215,Michigan State Spartans,Big Ten,0,22,1,0,0,0,42.08,24.08,,Lose
1216,Virginia Cavaliers,ACC,0,14,1,0,0,0,53.96,35.96,,Lose
1217,Auburn Tigers,SEC,0,28,1,0,0,0,60.08,32.0,,Win
1218,Michigan Wolverines,Big Ten,0,21,1,0,0,0,51.08,30.92,,Lose
1219,Oregon Ducks,Pac-12,0,56,1,0,0,0,41.0,33.08,8,Win
1220,Georgia Bulldogs,SEC,0,45,1,0,0,0,57.92,26.060000000000002,21,Win
1221,South Carolina Gamecocks,SEC,0,9,1,0,0,0,55.94,44.96,,Lose
1222,Texas Tech Red Raiders,Big 12,0,23,1,0,0,0,57.019999999999996,30.92,66,Win
1223,Maryland Terrapins,Big Ten,0,16,1,0,0,0,41.0,23.0,,Lose
1224,UTEP Miners,Conference USA,0,23,1,0,0,0,62.06,32.0,35,Lose
